unique_id,timestep,explrtr,Useful_PlotID,Qnum,month,year,date_releves,HHLAI,Biomass_g_per60cm2,Biomass_interpolated,RPMcalc_cm,Biomass_g_per_m2,Biomass_interpolated_per_m2,LAI_corr,biomass_corr,biomass_interpolated_corr,RPM_corr,LAI,biomass,biomass_interpolated,RPM,mosaic,var2_mosaic,b1_mean_round,b2_mean_round,b3_mean_round,b4_mean_round,var2_b1_mean_round,var2_b2_mean_round,var2_b3_mean_round,var2_b4_mean_round,blue,green,red,nir,ndvi,evi2,evi,savi,dvi,gndvi,grvi,sr_nirr,var2_blue,var2_green,var2_red,var2_nir,var2_ndvi,var2_evi2,var2_evi,var2_savi,var2_dvi,var2_gndvi,var2_grvi,var2_sr_nirr
AEG02_02_S_2021,A_S_2021,ALB,AEG02,AEG02_02,S,2021,23.09.2021,6.17,NA,70.08614,13.6,NA,194.6837222,6.17,NA,194.6837222,13.6,6.17,NA,194.6837222,13.6,ALB_2021_09_23,,5,289,151,3743,NA,NA,NA,NA,5.00E-04,0.0289,0.0151,0.3743,0.922444787,0.636635615,0.614584403,0.605801664,0.359665684,0.856646825,1.913907285,24.78807947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_03_J_2020,A_J_2020,ALB,AEG02,AEG02_03,J,2020,18.06.2020,4.14,NA,73.40666,21.2,NA,203.9073889,4.14,NA,203.9073889,21.2,4.14,NA,203.9073889,21.2,ALB_2020_06_XX,,117,450,300,3800,NA,NA,NA,NA,0.0117,0.045,0.03,0.38,0.853658537,0.60261708,0.594328409,0.576923077,0.3509252,0.788235294,1.5,12.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_03_S_2020,A_S_2020,ALB,AEG02,AEG02_03,S,2020,10.09.2020,5.85,71,71,19.6,197.2222222,197.2222222,5.85,197.2222222,197.2222222,19.6,5.85,197.2222222,197.2222222,19.6,ALB_2020_09_13,ALB_2020_08_21,134,423,213,4637,160,486,331,3525,0.0134,0.0423,0.0213,0.4637,0.912164948,0.73011975,0.741784038,0.673705584,0.443056892,0.832806324,1.985915493,21.76995305,0.016,0.0486,0.0331,0.3525,0.828319502,0.557635096,0.557962407,0.54098916,0.320420804,0.757666417,1.468277946,10.64954683
AEG02_03_S_2021,A_S_2021,ALB,AEG02,AEG02_03,S,2021,23.09.2021,4.83,101.7,101.7,10.4,282.5,282.5,4.83,282.5,282.5,10.4,4.83,282.5,282.5,10.4,ALB_2021_09_23,,23,333,179,3967,NA,NA,NA,NA,0.0023,0.0333,0.0179,0.3967,0.913651712,0.657794201,0.636916972,0.621255194,0.379352036,0.845116279,1.860335196,22.16201117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_04_J_2020,A_J_2020,ALB,AEG02,AEG02_04,J,2020,18.06.2020,4.09,NA,63.17126,18.2,NA,175.4757222,4.09,NA,175.4757222,18.2,4.09,NA,175.4757222,18.2,ALB_2020_06_XX,,117,467,275,3753,NA,NA,NA,NA,0.0117,0.0467,0.0275,0.3753,0.863455809,0.603274821,0.598602458,0.577868852,0.3486481,0.778672986,1.698181818,13.64727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_04_S_2020,A_S_2020,ALB,AEG02,AEG02_04,S,2020,10.09.2020,5.16,NA,61.80654,17.8,NA,171.6848333,5.16,NA,171.6848333,17.8,5.16,NA,171.6848333,17.8,ALB_2020_09_13,ALB_2020_08_21,135,447,222,4828,198,536,349,3618,0.0135,0.0447,0.0222,0.4828,0.912079208,0.749635436,0.760191451,0.687462687,0.461284648,0.830521327,2.013513514,21.74774775,0.0198,0.0536,0.0349,0.3618,0.824048399,0.565351836,0.574435932,0.546838407,0.327976316,0.741935484,1.535816619,10.36676218
AEG02_04_S_2021,A_S_2021,ALB,AEG02,AEG02_04,S,2021,23.09.2021,5.32,NA,84.41838,16.2,NA,234.4955,5.32,NA,234.4955,16.2,5.32,NA,234.4955,16.2,ALB_2021_09_23,,60,365,191,4293,NA,NA,NA,NA,0.006,0.0365,0.0191,0.4293,0.914808207,0.695188253,0.68416839,0.648776887,0.410789044,0.843280378,1.910994764,22.47643979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_05_J_2020,A_J_2020,ALB,AEG02,AEG02_05,J,2020,18.06.2020,4.27,43.79333333,43.79333333,18.4,121.6481481,121.6481481,4.27,121.6481481,121.6481481,18.4,4.27,121.6481481,121.6481481,18.4,ALB_2020_06_XX,,109,438,284,3769,NA,NA,NA,NA,0.0109,0.0438,0.0284,0.3769,0.859856896,0.602916142,0.594486711,0.577432895,0.349375856,0.791775612,1.542253521,13.27112676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_05_S_2020,A_S_2020,ALB,AEG02,AEG02_05,S,2020,10.09.2020,4.08,NA,44.06518,12.6,NA,122.4032778,4.08,NA,122.4032778,12.6,4.08,NA,122.4032778,12.6,ALB_2020_09_13,ALB_2020_08_21,139,459,218,4951,180,543,354,3631,0.0139,0.0459,0.0218,0.4951,0.915650996,0.764659885,0.777609831,0.698151244,0.473972312,0.830314233,2.105504587,22.71100917,0.018,0.0543,0.0354,0.3631,0.822333752,0.565756944,0.568726137,0.547078464,0.328791736,0.73981792,1.533898305,10.25706215
AEG02_05_S_2021,A_S_2021,ALB,AEG02,AEG02_05,S,2021,23.09.2021,5.1,NA,63.47126,12.4,NA,176.3090556,5.1,NA,176.3090556,12.4,5.1,NA,176.3090556,12.4,ALB_2021_09_23,,60,370,183,4535,NA,NA,NA,NA,0.006,0.037,0.0183,0.4535,0.922424756,0.726583056,0.716590924,0.671743157,0.435764372,0.849133537,2.021857923,24.78142077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_06_J_2020,A_J_2020,ALB,AEG02,AEG02_06,J,2020,18.06.2020,4.13,NA,67.94778,19.6,NA,188.7438333,4.13,NA,188.7438333,19.6,4.13,NA,188.7438333,19.6,ALB_2020_06_XX,,101,401,260,3671,NA,NA,NA,NA,0.0101,0.0401,0.026,0.3671,0.867718138,0.596537251,0.589180226,0.572892173,0.34190184,0.803045187,1.542307692,14.11923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_06_S_2020,A_S_2020,ALB,AEG02,AEG02_06,S,2020,10.09.2020,5.81,87.1,87.1,19,241.9444444,241.9444444,5.81,241.9444444,241.9444444,19,5.81,241.9444444,241.9444444,19,ALB_2020_09_13,ALB_2020_08_21,145,447,228,4858,145,473,349,3588,0.0145,0.0447,0.0228,0.4858,0.910342116,0.751369667,0.764606797,0.688578227,0.463703152,0.831479736,1.960526316,21.30701754,0.0145,0.0473,0.0349,0.3588,0.822707645,0.561328472,0.5548323,0.543638805,0.324976316,0.76705245,1.35530086,10.28080229
AEG02_06_S_2021,A_S_2021,ALB,AEG02,AEG02_06,S,2021,23.09.2021,5.4,100.31,100.31,14.6,278.6388889,278.6388889,5.4,278.6388889,278.6388889,14.6,5.4,278.6388889,278.6388889,14.6,ALB_2021_09_23,,33,363,175,4394,NA,NA,NA,NA,0.0033,0.0363,0.0175,0.4394,0.923396805,0.71199541,0.694074293,0.661354373,0.4224397,0.847382804,2.074285714,25.10857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_07_J_2020,A_J_2020,ALB,AEG02,AEG02_07,J,2020,18.06.2020,4.64,NA,60.44182,17.4,NA,167.8939444,4.64,NA,167.8939444,17.4,4.64,NA,167.8939444,17.4,ALB_2020_06_XX,,98,423,285,3501,NA,NA,NA,NA,0.0098,0.0423,0.0285,0.3501,0.849445325,0.566795911,0.555402045,0.549055315,0.32247894,0.78440367,1.484210526,12.28421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEG02_07_S_2020,A_S_2020,ALB,AEG02,AEG02_07,S,2020,10.09.2020,5.58,NA,52.2535,15,NA,145.1486111,5.58,NA,145.1486111,15,5.58,NA,145.1486111,15,ALB_2020_09_13,ALB_2020_08_21,161,464,246,4749,166,478,355,3320,0.0161,0.0464,0.0246,0.4749,0.901501502,0.733894416,0.749625437,0.675787894,0.451058664,0.821983503,1.886178862,19.30487805,0.0166,0.0478,0.0355,0.332,0.806802721,0.523038386,0.521823302,0.512680115,0.29759482,0.748288573,1.346478873,9.352112676
AEG02_07_S_2021,A_S_2021,ALB,AEG02,AEG02_07,S,2021,23.09.2021,5.69,NA,77.8035,15,NA,216.1208333,5.69,NA,216.1208333,15,5.69,NA,216.1208333,15,ALB_2021_09_23,,68,383,188,4128,NA,NA,NA,NA,0.0068,0.0383,0.0188,0.4128,0.912882298,0.675620061,0.667977757,0.634392443,0.394579792,0.830192862,2.037234043,21.95744681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
